datalen:256 times:100000 insert_time:193179 insert_per_sec:6293 find_time:60418 find_per_sec:20122
datalen:512 times:50000 insert_time:117686 insert_per_sec:23412 find_time:29680 find_per_sec:92835
datalen:768 times:33333 insert_time:98817 insert_per_sec:33073 find_time:20055 find_per_sec:162963
datalen:1024 times:25000 insert_time:87691 insert_per_sec:40199 find_time:15419 find_per_sec:228624
datalen:1280 times:20000 insert_time:79052 insert_per_sec:35674 find_time:12246 find_per_sec:230289
datalen:1536 times:16666 insert_time:72275 insert_per_sec:52315 find_time:10435 find_per_sec:362347
datalen:1792 times:14285 insert_time:68954 insert_per_sec:20304 find_time:9713 find_per_sec:144146
datalen:2048 times:12500 insert_time:67913 insert_per_sec:57574 find_time:7799 find_per_sec:501354
datalen:2304 times:11111 insert_time:67485 insert_per_sec:37357 find_time:7085 find_per_sec:355831
datalen:2560 times:10000 insert_time:64006 insert_per_sec:22030 find_time:6521 find_per_sec:216234
datalen:2816 times:9090 insert_time:67115 insert_per_sec:7450 find_time:5885 find_per_sec:84972
datalen:3072 times:8333 insert_time:62172 insert_per_sec:64949 find_time:5455 find_per_sec:740244
datalen:3328 times:7692 insert_time:63992 insert_per_sec:53085 find_time:4969 find_per_sec:683645
datalen:3584 times:7142 insert_time:61012 insert_per_sec:46663 find_time:4609 find_per_sec:617711
datalen:3840 times:6666 insert_time:65987 insert_per_sec:35931 find_time:4453 find_per_sec:532457
datalen:4096 times:6250 insert_time:62835 insert_per_sec:31113 find_time:4143 find_per_sec:471888
datalen:4352 times:5882 insert_time:61066 insert_per_sec:25988 find_time:3903 find_per_sec:406618
datalen:4608 times:5555 insert_time:59262 insert_per_sec:21262 find_time:3697 find_per_sec:340825
datalen:4864 times:5263 insert_time:53971 insert_per_sec:17936 find_time:3735 find_per_sec:259178
datalen:5120 times:5000 insert_time:54410 insert_per_sec:12957 find_time:3361 find_per_sec:209768
datalen:5376 times:4761 insert_time:50580 insert_per_sec:9213 find_time:3084 find_per_sec:151113
datalen:5632 times:4545 insert_time:49794 insert_per_sec:5021 find_time:3040 find_per_sec:82247
datalen:5888 times:4347 insert_time:48026 insert_per_sec:1083 find_time:2815 find_per_sec:18484
datalen:6144 times:4166 insert_time:51937 insert_per_sec:80212 find_time:2697 find_per_sec:1544679
datalen:6400 times:4000 insert_time:49439 insert_per_sec:80907 find_time:2679 find_per_sec:1493094
datalen:6656 times:3846 insert_time:47297 insert_per_sec:81315 find_time:2601 find_per_sec:1478662
datalen:6912 times:3703 insert_time:44952 insert_per_sec:82376 find_time:2362 find_per_sec:1567739
datalen:7168 times:3571 insert_time:45422 insert_per_sec:78618 find_time:2320 find_per_sec:1539224
datalen:7424 times:3448 insert_time:46485 insert_per_sec:74174 find_time:2318 find_per_sec:1487489
datalen:7680 times:3333 insert_time:42778 insert_per_sec:77913 find_time:2139 find_per_sec:1558204
