datalen:2048 times:10000 insert_time:38236 insert_per_sec:36877 find_time:3397 find_per_sec:415091
datalen:4096 times:5000 insert_time:36172 insert_per_sec:19491 find_time:2529 find_per_sec:278779
datalen:6144 times:3333 insert_time:34325 insert_per_sec:97101 find_time:1233 find_per_sec:2703163
datalen:8192 times:2500 insert_time:32327 insert_per_sec:77334 find_time:969 find_per_sec:2579979
datalen:10240 times:2000 insert_time:30677 insert_per_sec:65195 find_time:937 find_per_sec:2134471
datalen:12288 times:1666 insert_time:30482 insert_per_sec:54655 find_time:695 find_per_sec:2397122
datalen:14336 times:1428 insert_time:29799 insert_per_sec:47921 find_time:788 find_per_sec:1812182
datalen:16384 times:1250 insert_time:30337 insert_per_sec:41203 find_time:457 find_per_sec:2735229
datalen:18432 times:1111 insert_time:31179 insert_per_sec:35632 find_time:402 find_per_sec:2763681
datalen:20480 times:1000 insert_time:29401 insert_per_sec:34012 find_time:486 find_per_sec:2057613
datalen:22528 times:909 insert_time:28510 insert_per_sec:31883 find_time:309 find_per_sec:2941747
datalen:24576 times:833 insert_time:28513 insert_per_sec:29214 find_time:320 find_per_sec:2603125
datalen:26624 times:769 insert_time:27658 insert_per_sec:27803 find_time:300 find_per_sec:2563333
datalen:28672 times:714 insert_time:28298 insert_per_sec:25231 find_time:286 find_per_sec:2496503
datalen:30720 times:666 insert_time:29509 insert_per_sec:22569 find_time:280 find_per_sec:2378571
datalen:32768 times:625 insert_time:27677 insert_per_sec:22581 find_time:252 find_per_sec:2480158
datalen:34816 times:588 insert_time:28593 insert_per_sec:20564 find_time:242 find_per_sec:2429752
datalen:36864 times:555 insert_time:27743 insert_per_sec:20005 find_time:233 find_per_sec:2381974
datalen:38912 times:526 insert_time:28400 insert_per_sec:18521 find_time:236 find_per_sec:2228813
datalen:40960 times:500 insert_time:27471 insert_per_sec:18201 find_time:231 find_per_sec:2164502
datalen:43008 times:476 insert_time:28577 insert_per_sec:16656 find_time:223 find_per_sec:2134529
datalen:45056 times:454 insert_time:28015 insert_per_sec:16205 find_time:184 find_per_sec:2467391
datalen:47104 times:434 insert_time:28120 insert_per_sec:15433 find_time:169 find_per_sec:2568047
datalen:49152 times:416 insert_time:28449 insert_per_sec:14622 find_time:209 find_per_sec:1990430
datalen:51200 times:400 insert_time:27820 insert_per_sec:14378 find_time:152 find_per_sec:2631578
