datalen:2048 times:10000 insert_time:65601 insert_per_sec:21494 find_time:3545 find_per_sec:397761
datalen:4096 times:5000 insert_time:49720 insert_per_sec:14180 find_time:1720 find_per_sec:409902
datalen:6144 times:3333 insert_time:39070 insert_per_sec:85308 find_time:1116 find_per_sec:2986559
datalen:8192 times:2500 insert_time:39242 insert_per_sec:63707 find_time:916 find_per_sec:2729257
datalen:10240 times:2000 insert_time:33656 insert_per_sec:59424 find_time:732 find_per_sec:2732240
datalen:12288 times:1666 insert_time:33975 insert_per_sec:49036 find_time:611 find_per_sec:2726677
datalen:14336 times:1428 insert_time:31552 insert_per_sec:45258 find_time:527 find_per_sec:2709677
datalen:16384 times:1250 insert_time:33461 insert_per_sec:37356 find_time:462 find_per_sec:2705627
datalen:18432 times:1111 insert_time:30524 insert_per_sec:36397 find_time:496 find_per_sec:2239919
datalen:20480 times:1000 insert_time:33389 insert_per_sec:29949 find_time:451 find_per_sec:2217294
datalen:22528 times:909 insert_time:27324 insert_per_sec:33267 find_time:400 find_per_sec:2272500
datalen:24576 times:833 insert_time:31143 insert_per_sec:26747 find_time:342 find_per_sec:2435672
datalen:26624 times:769 insert_time:26605 insert_per_sec:28904 find_time:308 find_per_sec:2496753
datalen:28672 times:714 insert_time:27885 insert_per_sec:25605 find_time:281 find_per_sec:2540925
datalen:30720 times:666 insert_time:28156 insert_per_sec:23653 find_time:255 find_per_sec:2611764
datalen:32768 times:625 insert_time:29815 insert_per_sec:20962 find_time:265 find_per_sec:2358490
datalen:34816 times:588 insert_time:25923 insert_per_sec:22682 find_time:255 find_per_sec:2305882
datalen:36864 times:555 insert_time:27747 insert_per_sec:20002 find_time:237 find_per_sec:2341772
datalen:38912 times:526 insert_time:27170 insert_per_sec:19359 find_time:265 find_per_sec:1984905
datalen:40960 times:500 insert_time:28876 insert_per_sec:17315 find_time:221 find_per_sec:2262443
datalen:43008 times:476 insert_time:27658 insert_per_sec:17210 find_time:219 find_per_sec:2173515
datalen:45056 times:454 insert_time:26245 insert_per_sec:17298 find_time:204 find_per_sec:2225490
datalen:47104 times:434 insert_time:27820 insert_per_sec:15600 find_time:214 find_per_sec:2028037
datalen:49152 times:416 insert_time:27269 insert_per_sec:15255 find_time:327 find_per_sec:1272171
datalen:51200 times:400 insert_time:25130 insert_per_sec:15917 find_time:159 find_per_sec:2515723
